No.,Time,Source,Destination,Protocol,Length,Info
50,4.98593,host,1.2.2,USB,73,URB_BULK out
52,6.027243,1.2.2,host,USB,91,URB_BULK in
54,6.028132,host,1.2.2,USB,66,URB_BULK out
66,7.064679,1.2.2,host,USB,96,URB_BULK in
68,7.09796,1.2.2,host,USB,96,URB_BULK in
70,7.122832,1.2.2,host,USB,86,URB_BULK in
72,7.123749,host,1.2.2,USB,67,URB_BULK out
74,8.160775,1.2.2,host,USB,94,URB_BULK in
76,8.162019,host,1.2.2,USB,68,URB_BULK out
88,9.200615,1.2.2,host,USB,96,URB_BULK in
90,9.225503,1.2.2,host,USB,86,URB_BULK in
92,9.226403,host,1.2.2,USB,72,URB_BULK out
104,10.252845,1.2.2,host,USB,79,URB_BULK in
106,10.253652,host,1.2.2,USB,70,URB_BULK out
108,11.292274,1.2.2,host,USB,94,URB_BULK in
120,12.795157,host,1.2.2,USB,68,URB_BULK out
122,13.833395,1.2.2,host,USB,94,URB_BULK in
134,15.335122,host,1.2.2,USB,76,URB_BULK out
136,16.380793,1.2.2,host,USB,94,URB_BULK in
148,17.883572,host,1.2.2,USB,84,URB_BULK out
160,18.939052,1.2.2,host,USB,94,URB_BULK in
162,20.441906,host,1.2.2,USB,72,URB_BULK out
174,21.484874,1.2.2,host,USB,96,URB_BULK in
176,21.518418,1.2.2,host,USB,96,URB_BULK in
178,21.534658,1.2.2,host,USB,78,URB_BULK in
180,21.535307,host,1.2.2,USB,84,URB_BULK out
192,22.591781,1.2.2,host,USB,96,URB_BULK in
194,22.607139,1.2.2,host,USB,77,URB_BULK in
196,22.607734,host,1.2.2,USB,78,URB_BULK out
198,23.657313,1.2.2,host,USB,96,URB_BULK in
200,23.672803,1.2.2,host,USB,77,URB_BULK in
202,23.673494,host,1.2.2,USB,81,URB_BULK out
214,24.72629,1.2.2,host,USB,96,URB_BULK in
216,24.741354,1.2.2,host,USB,77,URB_BULK in
218,24.742032,host,1.2.2,USB,77,URB_BULK out
220,25.790753,1.2.2,host,USB,96,URB_BULK in
222,25.806281,1.2.2,host,USB,77,URB_BULK in
224,25.806963,host,1.2.2,USB,80,URB_BULK out
236,26.857875,1.2.2,host,USB,94,URB_BULK in
250,29.414475,1.2.2,host,USB,95,URB_BULK in
252,29.416036,host,1.2.2,USB,87,URB_BULK out
254,30.474888,1.2.2,host,USB,94,URB_BULK in
266,31.97695,host,1.2.2,USB,79,URB_BULK out
278,33.016606,1.2.2,host,USB,84,URB_BULK in
280,33.017996,host,1.2.2,USB,75,URB_BULK out
282,34.063725,1.2.2,host,USB,94,URB_BULK in
296,36.619434,1.2.2,host,USB,94,URB_BULK in
308,38.124942,host,1.2.2,USB,76,URB_BULK out
320,39.172048,1.2.2,host,USB,94,URB_BULK in
322,40.675163,host,1.2.2,USB,92,URB_BULK out
334,41.729113,1.2.2,host,USB,84,URB_BULK in
336,41.730066,host,1.2.2,USB,96,URB_BULK out
337,41.730104,host,1.2.2,USB,65,URB_BULK out
340,42.788916,1.2.2,host,USB,84,URB_BULK in
342,42.789633,host,1.2.2,USB,96,URB_BULK out
343,42.789661,host,1.2.2,USB,65,URB_BULK out
356,43.859541,1.2.2,host,USB,95,URB_BULK in
358,43.86032,host,1.2.2,USB,96,URB_BULK out
359,43.860343,host,1.2.2,USB,65,URB_BULK out
362,44.930208,1.2.2,host,USB,95,URB_BULK in
364,44.931302,host,1.2.2,USB,96,URB_BULK out
365,44.931352,host,1.2.2,USB,96,URB_BULK out
367,44.931442,host,1.2.2,USB,81,URB_BULK out
380,46.050686,1.2.2,host,USB,95,URB_BULK in
382,46.052284,host,1.2.2,USB,80,URB_BULK out
384,47.093407,1.2.2,host,USB,84,URB_BULK in
386,47.09441,host,1.2.2,USB,87,URB_BULK out
398,48.152874,1.2.2,host,USB,95,URB_BULK in
400,48.153923,host,1.2.2,USB,72,URB_BULK out
412,49.197118,1.2.2,host,USB,96,URB_BULK in
414,49.228938,1.2.2,host,USB,93,URB_BULK in
416,49.229802,host,1.2.2,USB,77,URB_BULK out
418,50.278143,1.2.2,host,USB,96,URB_BULK in
420,50.310552,1.2.2,host,USB,93,URB_BULK in
422,50.311546,host,1.2.2,USB,77,URB_BULK out
434,51.359387,1.2.2,host,USB,96,URB_BULK in
436,51.391186,1.2.2,host,USB,93,URB_BULK in
438,51.392165,host,1.2.2,USB,80,URB_BULK out
440,52.443338,1.2.2,host,USB,96,URB_BULK in
442,52.475502,1.2.2,host,USB,93,URB_BULK in
444,52.476407,host,1.2.2,USB,78,URB_BULK out
456,53.52445,1.2.2,host,USB,96,URB_BULK in
458,53.55636,1.2.2,host,USB,93,URB_BULK in
460,53.557702,host,1.2.2,USB,77,URB_BULK out
462,54.606768,1.2.2,host,USB,96,URB_BULK in
464,54.638697,1.2.2,host,USB,93,URB_BULK in
466,54.639615,host,1.2.2,USB,80,URB_BULK out
478,55.690245,1.2.2,host,USB,94,URB_BULK in
492,58.247955,1.2.2,host,USB,95,URB_BULK in
494,58.249623,host,1.2.2,USB,87,URB_BULK out
496,59.30846,1.2.2,host,USB,94,URB_BULK in
508,60.81037,host,1.2.2,USB,73,URB_BULK out
520,61.841665,1.2.2,host,USB,83,URB_BULK in
