"No.","Time","Source","Destination","Protocol","Length","Info"
"48","4.189221","host","1.2.2","USB","73","URB_BULK out"
"50","5.230295","1.2.2","host","USB","91","URB_BULK in"
"52","5.231044","host","1.2.2","USB","87","URB_BULK out"
"64","6.290409","1.2.2","host","USB","96","URB_BULK in"
"66","6.323681","1.2.2","host","USB","96","URB_BULK in"
"68","6.331597","1.2.2","host","USB","70","URB_BULK in"
"72","7.384938","1.2.2","host","USB","94","URB_BULK in"
"74","7.386609","host","1.2.2","USB","72","URB_BULK out"
"86","8.429948","1.2.2","host","USB","96","URB_BULK in"
"88","8.461708","1.2.2","host","USB","93","URB_BULK in"
"90","8.462726","host","1.2.2","USB","72","URB_BULK out"
"92","9.489791","1.2.2","host","USB","79","URB_BULK in"
"106","10.542739","1.2.2","host","USB","94","URB_BULK in"
"108","12.045050","host","1.2.2","USB","76","URB_BULK out"
"120","13.091680","1.2.2","host","USB","94","URB_BULK in"
"132","14.594369","host","1.2.2","USB","72","URB_BULK out"
"134","15.637090","1.2.2","host","USB","96","URB_BULK in"
"136","15.670562","1.2.2","host","USB","96","URB_BULK in"
"138","15.686811","1.2.2","host","USB","78","URB_BULK in"
"140","15.687874","host","1.2.2","USB","67","URB_BULK out"
"152","16.724460","1.2.2","host","USB","94","URB_BULK in"
"154","18.227198","host","1.2.2","USB","77","URB_BULK out"
"166","19.275271","1.2.2","host","USB","96","URB_BULK in"
"168","19.307380","1.2.2","host","USB","93","URB_BULK in"
"170","19.308912","host","1.2.2","USB","77","URB_BULK out"
"172","20.356369","1.2.2","host","USB","96","URB_BULK in"
"174","20.388285","1.2.2","host","USB","93","URB_BULK in"
"176","20.389304","host","1.2.2","USB","80","URB_BULK out"
"188","21.439871","1.2.2","host","USB","94","URB_BULK in"
"200","22.943148","host","1.2.2","USB","80","URB_BULK out"
"202","23.994151","1.2.2","host","USB","94","URB_BULK in"
"214","25.497768","host","1.2.2","USB","70","URB_BULK out"
"216","26.536759","1.2.2","host","USB","94","URB_BULK in"
"228","28.038954","host","1.2.2","USB","81","URB_BULK out"
"240","29.088851","1.2.2","host","USB","92","URB_BULK in"
"242","29.090726","host","1.2.2","USB","96","URB_BULK out"
"243","29.090778","host","1.2.2","USB","65","URB_BULK out"
"246","30.158722","1.2.2","host","USB","94","URB_BULK in"
"258","31.661058","host","1.2.2","USB","68","URB_BULK out"
"260","32.699254","1.2.2","host","USB","96","URB_BULK in"
"262","32.724176","1.2.2","host","USB","86","URB_BULK in"
"264","32.724489","host","1.2.2","USB","77","URB_BULK out"
"276","33.772986","1.2.2","host","USB","96","URB_BULK in"
"278","33.806000","1.2.2","host","USB","96","URB_BULK in"
"280","33.822644","1.2.2","host","USB","78","URB_BULK in"
"282","33.823431","host","1.2.2","USB","84","URB_BULK out"
"294","34.877068","1.2.2","host","USB","92","URB_BULK in"
"296","34.878173","host","1.2.2","USB","66","URB_BULK out"
"298","35.914269","1.2.2","host","USB","94","URB_BULK in"
"310","37.416186","host","1.2.2","USB","79","URB_BULK out"
"312","38.455934","1.2.2","host","USB","84","URB_BULK in"
"314","38.456311","host","1.2.2","USB","84","URB_BULK out"
"326","39.510600","1.2.2","host","USB","94","URB_BULK in"
"338","41.012214","host","1.2.2","USB","68","URB_BULK out"
"340","42.050445","1.2.2","host","USB","94","URB_BULK in"
"352","43.553121","host","1.2.2","USB","96","URB_BULK out"
"353","43.553145","host","1.2.2","USB","65","URB_BULK out"
"356","44.611115","1.2.2","host","USB","84","URB_BULK in"
"358","44.612044","host","1.2.2","USB","87","URB_BULK out"
"370","45.672468","1.2.2","host","USB","95","URB_BULK in"
"372","45.673864","host","1.2.2","USB","80","URB_BULK out"
"374","46.714231","1.2.2","host","USB","84","URB_BULK in"
"376","46.715208","host","1.2.2","USB","78","URB_BULK out"
"388","47.765005","1.2.2","host","USB","96","URB_BULK in"
"390","47.796851","1.2.2","host","USB","93","URB_BULK in"
"392","47.797739","host","1.2.2","USB","80","URB_BULK out"
"394","48.847926","1.2.2","host","USB","96","URB_BULK in"
"396","48.880190","1.2.2","host","USB","93","URB_BULK in"
"398","48.880700","host","1.2.2","USB","77","URB_BULK out"
"410","49.928957","1.2.2","host","USB","96","URB_BULK in"
"412","49.961004","1.2.2","host","USB","93","URB_BULK in"
"416","51.015191","1.2.2","host","USB","94","URB_BULK in"
"428","52.517074","host","1.2.2","USB","96","URB_BULK out"
"429","52.517112","host","1.2.2","USB","96","URB_BULK out"
"431","52.517207","host","1.2.2","USB","81","URB_BULK out"
"444","53.635337","1.2.2","host","USB","95","URB_BULK in"
"446","53.636797","host","1.2.2","USB","75","URB_BULK out"
"448","54.682675","1.2.2","host","USB","94","URB_BULK in"
"460","56.185187","host","1.2.2","USB","76","URB_BULK out"
"462","57.231875","1.2.2","host","USB","94","URB_BULK in"
"474","58.734979","host","1.2.2","USB","78","URB_BULK out"
"486","59.784755","1.2.2","host","USB","96","URB_BULK in"
"488","59.818019","1.2.2","host","USB","96","URB_BULK in"
"490","59.834645","1.2.2","host","USB","78","URB_BULK in"
"492","59.835180","host","1.2.2","USB","87","URB_BULK out"
"494","60.894298","1.2.2","host","USB","94","URB_BULK in"
"506","62.397237","host","1.2.2","USB","96","URB_BULK out"
"507","62.397257","host","1.2.2","USB","65","URB_BULK out"
"510","63.465934","1.2.2","host","USB","94","URB_BULK in"
"522","64.968140","host","1.2.2","USB","92","URB_BULK out"
"534","66.021128","1.2.2","host","USB","84","URB_BULK in"
"536","66.021971","host","1.2.2","USB","73","URB_BULK out"
"538","67.053508","1.2.2","host","USB","83","URB_BULK in"
